	MIC_001_HMP	MIC_003_HMP	MIC_005_HMP	MIC_006_HMP	MIC_007_HMP	MIC_009_HMP	MIC_010_HMP	MIC_011_HMP	MIC_012_HMP	MIC_013_HMP	MIC_014_HMP	MIC_015_HMP	MIC_016_HMP	MIC_017_HMP	MIC_019_HMP	MIC_020_HMP	MIC_021_HMP	MIC_022_HMP	MIC_023_HMP	MIC_024_HMP	MIC_025_HMP	MIC_026_HMP	MIC_027_HMP	MIC_028_HMP	MIC_029_HMP	MIC_030_HMP	MIC_031_HMP	MIC_032_HMP	MIC_033_HMP	MIC_034_HMP	MIC_036_HMP	MIC_037_HMP	MIC_039_HMP	MIC_040_HMP	MIC_042_HMP	MIC_043_HMP	MIC_044_HMP	MIC_045_HMP	MIC_047_HMP	MIC_049_HMP	MIC_050_HMP	MIC_052_HMP	MIC_053_HMP	MIC_054_HMP	MIC_055_HMP	MIC_056_HMP	MIC_057_HMP	MIC_058_HMP	MIC_059_HMP	MIC_062_HMP	MIC_063_HMP	MIC_064_HMP	MIC_065_HMP	MIC_066_HMP	MIC_067_HMP
MIC_014_HMP	0.871540929364	0.881585811274	0.937386451615	0.740021331061	0.884615585091	0.764879935575	0.740903881971	0.851457419728	0.780175507996	0.725401112732	0.0	0.783124218975	0.71934930356	0.857321138984	0.805690944701	0.826763679413	0.867394102518	0.862021393367	0.744462768102	0.785230972503	0.898900959752	0.776256197831	0.775798958533	0.743267242436	0.73347467771	0.750074623764	0.73431821707	0.83782857458	0.79163319077	0.776194331929	0.790280301395	0.820636864583	0.73936591867	0.742176651379	0.767365856196	0.793614717857	0.86674708667	0.818512788215	0.797388292331	0.760680553614	0.754509358251	0.754239495847	0.767565288604	0.738133954892	0.819616300867	0.884693069357	0.867053660248	0.746703507001	0.876712068036	0.839725398102	0.86059182895	0.810544453294	0.782282994497	0.777422727038	0.855547084626
MIC_015_HMP	0.809696872357	0.800691784946	0.859675620591	0.827349818756	0.783894179508	0.744569723419	0.653090865724	0.716723166285	0.814557386176	0.735985719135	0.783124218975	0.0	0.739988000558	0.740360992673	0.797747531489	0.758615538678	0.769241831568	0.786817598978	0.735310916222	0.720989066805	0.81298420875	0.763205995593	0.759082805267	0.730526717521	0.743913420815	0.777605896475	0.764117715007	0.749815199894	0.770537604411	0.619221614673	0.704933074013	0.719513623568	0.791368645608	0.789209941461	0.742314488028	0.73305562263	0.79304129231	0.77047419527	0.72414461852	0.763708567253	0.754927989007	0.751977183545	0.741317687033	0.76172306527	0.719637026721	0.800022550315	0.778171531614	0.729217987575	0.791262375509	0.792138822276	0.741770400589	0.673579289594	0.701035551188	0.700341137987	0.743613751855
MIC_016_HMP	0.849077605615	0.853028542139	0.918608586157	0.657144745137	0.850646460615	0.700356891321	0.692132910538	0.803615743288	0.725064161079	0.712580991498	0.71934930356	0.739988000558	0.0	0.809884528325	0.771448111002	0.797041835465	0.834647340476	0.82189552324	0.730164083825	0.70806887271	0.871021698514	0.70645257165	0.738936928437	0.700080851498	0.684574348344	0.679130346739	0.692914322927	0.806477623681	0.776039631211	0.738331778936	0.709971662196	0.772015893731	0.694644565919	0.698223873286	0.735066005482	0.753809187338	0.837797872339	0.79619513272	0.74228065905	0.675825473576	0.664373629696	0.692257878054	0.682132570163	0.679251358251	0.752560508553	0.845669994151	0.825535261957	0.659080800611	0.855722867081	0.772519513023	0.821075241243	0.76621539265	0.711837342321	0.726170596133	0.819817574847
MIC_017_HMP	0.750404020488	0.728304128694	0.734718097196	0.853300840161	0.748333776021	0.753493378619	0.717581939266	0.652639669203	0.797511673661	0.811623533787	0.857321138984	0.740360992673	0.809884528325	0.0	0.735672856603	0.720214296161	0.682869108359	0.718713280046	0.76960812526	0.717243454494	0.678884330675	0.72644744138	0.755015116801	0.784721232845	0.742413180918	0.78917497718	0.82131585735	0.66318818507	0.744300400183	0.670070903429	0.715830081773	0.717684047279	0.793470311873	0.819939327325	0.715344167707	0.699158300739	0.651398489147	0.721472378252	0.666641396774	0.777441044002	0.779386089181	0.773261189971	0.739718439613	0.787297028575	0.672405144042	0.696330224201	0.681081555872	0.716268977495	0.68625105275	0.766383504313	0.719789198467	0.660074206723	0.71588286358	0.717925814859	0.726543274406
MIC_019_HMP	0.797028141633	0.792517589518	0.8735072911	0.800267968893	0.802495085842	0.712606757947	0.742614195313	0.767017853541	0.759041984455	0.754024449814	0.805690944701	0.797747531489	0.771448111002	0.735672856603	0.0	0.741960116955	0.770778680036	0.763093151902	0.745484686738	0.75836203907	0.810958552669	0.719084468348	0.758042908036	0.742958133479	0.713721152834	0.745374548171	0.763253109016	0.734218052752	0.753686986421	0.751021028427	0.728351246328	0.781280249911	0.758055161339	0.767477587436	0.716924806917	0.741793162433	0.742344559115	0.754683675037	0.728636499826	0.741529407537	0.76333535452	0.77239936375	0.732818415806	0.755840101291	0.724252821686	0.807314162842	0.784050771823	0.712974239482	0.819108053933	0.802202526141	0.816848706925	0.769386112659	0.747808286795	0.749427685099	0.821282226616
MIC_020_HMP	0.676765162394	0.704899753624	0.828182353721	0.832910320029	0.764770605115	0.729563282438	0.711271180169	0.705394837806	0.76557894368	0.799983076389	0.826763679413	0.758615538678	0.797041835465	0.720214296161	0.741960116955	0.0	0.611522450004	0.696984188581	0.765618692393	0.73191181258	0.766914880466	0.708027821541	0.752800818615	0.781168485229	0.727647423137	0.759777976943	0.782307413721	0.713425608486	0.754633671701	0.700240368097	0.713803622095	0.725091685663	0.76909651286	0.7915725704	0.712072381579	0.722569238176	0.746519593209	0.755520190404	0.663809400331	0.766319063472	0.754870730404	0.757655225746	0.736190402045	0.745260411099	0.704370767207	0.762462534136	0.69962139961	0.710268091608	0.770896748449	0.780253287297	0.753144749143	0.696041765297	0.721301350697	0.721574098072	0.753918892163
MIC_021_HMP	0.619672987874	0.612778273182	0.765159193003	0.861397601656	0.743463147554	0.781989317561	0.758811174238	0.672570784114	0.802285560188	0.837607518792	0.867394102518	0.769241831568	0.834647340476	0.682869108359	0.770778680036	0.611522450004	0.0	0.651128583003	0.81753998528	0.748905128582	0.741490120696	0.749381475975	0.770574940894	0.813008475709	0.742496991323	0.805491792387	0.82170723924	0.683038993578	0.784561026458	0.71342998061	0.748613408851	0.743310674414	0.802836593121	0.83883268141	0.728038393545	0.761331045735	0.708991197643	0.773273757196	0.671806202193	0.810014989899	0.792644479564	0.812923132939	0.757567376468	0.792877082216	0.70471906045	0.770435809824	0.652460705761	0.740279796393	0.722148562356	0.796395174694	0.716270602739	0.662403261112	0.74141314905	0.747596287711	0.732333758502
MIC_022_HMP	0.650231259279	0.656392535407	0.818127456577	0.848235475251	0.72559393872	0.767777330035	0.748677022586	0.669931983231	0.772458712365	0.814848358395	0.862021393367	0.786817598978	0.82189552324	0.718713280046	0.763093151902	0.696984188581	0.651128583003	0.0	0.793241530585	0.73404522888	0.716554459295	0.721611362549	0.762431803035	0.792122315745	0.752037703634	0.786436338794	0.815421772779	0.73510890731	0.758249912641	0.726546088748	0.715743990208	0.673336267129	0.790577138263	0.824607785929	0.760421507554	0.743362790427	0.716960517142	0.763662432729	0.703535900596	0.776242657659	0.767969687209	0.787168751218	0.74891746743	0.789847255641	0.673987674395	0.71819836253	0.710408824377	0.736236276954	0.725483517281	0.728523612925	0.732455071098	0.692750510912	0.699618008909	0.748023563428	0.728709259395
MIC_023_HMP	0.813104254786	0.830274789134	0.897041205015	0.766850637111	0.827610128846	0.717635404259	0.689969854401	0.768268367997	0.766222008808	0.644664926487	0.744462768102	0.735310916222	0.730164083825	0.76960812526	0.745484686738	0.765618692393	0.81753998528	0.793241530585	0.0	0.770607789221	0.845039793472	0.742142525662	0.72959424932	0.635895410952	0.699883819112	0.74529075139	0.756131054195	0.751484909859	0.748246733886	0.728658597281	0.740441437353	0.807040682916	0.753992342268	0.746057028005	0.714132675363	0.725962358786	0.78077120593	0.745500375375	0.738811060622	0.713326630571	0.715904280124	0.760096961443	0.739081528945	0.737295732802	0.767662043416	0.843558861114	0.814077935513	0.714955313131	0.822841716423	0.813859778291	0.82006562233	0.772786077458	0.737283245355	0.761140460815	0.821771734244
MIC_024_HMP	0.776537141603	0.774842309708	0.858748460276	0.763527449628	0.801077076021	0.67155223793	0.660961572072	0.705557734663	0.741728571093	0.763207798132	0.785230972503	0.720989066805	0.70806887271	0.717243454494	0.75836203907	0.73191181258	0.748905128582	0.73404522888	0.770607789221	0.0	0.763738541467	0.607715246921	0.714338540488	0.728278896786	0.622352311856	0.681500847772	0.683740048144	0.740713360855	0.719228768005	0.622116851825	0.588248924365	0.582246070428	0.675435291169	0.714351675638	0.696255175691	0.703458753396	0.744404310299	0.751884284332	0.6498405073	0.659128630532	0.652338504249	0.64880374954	0.606147589434	0.679100595116	0.650967790279	0.712178628315	0.694509953639	0.610159355435	0.74501476037	0.625676880712	0.698599036588	0.61415884488	0.586791063742	0.605261228377	0.713801681293
